('NR', '29/12/18', '12:12:07')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:08')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:09')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:10')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:11')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:12')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:13')
('NR', '29/12/18', '12:12:14')
('NR', '29/12/18', '12:12:14')
('NR', '29/12/18', '12:12:14')
('NR', '29/12/18', '12:12:14')
('NR', '29/12/18', '12:12:14')
('NR', '29/12/18', '12:12:14')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:15')
('OA', '29/12/18', '12:12:16')
('OA', '29/12/18', '12:12:16')
('OA', '29/12/18', '12:12:16')
('OA', '29/12/18', '12:12:16')
('OA', '29/12/18', '12:12:17')
('OA', '29/12/18', '12:12:17')
('OA', '29/12/18', '12:12:18')
('OA', '29/12/18', '12:12:18')
('OA', '29/12/18', '12:12:18')
('OA', '29/12/18', '12:12:18')
('OA', '29/12/18', '12:12:19')
('OA', '29/12/18', '12:12:19')
('OA', '29/12/18', '12:12:20')
('OA', '29/12/18', '12:12:20')
('OA', '29/12/18', '12:12:20')
('OA', '29/12/18', '12:12:20')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:21')
('OA', '29/12/18', '12:12:22')
('OA', '29/12/18', '12:12:22')
('OA', '29/12/18', '12:12:22')
('OA', '29/12/18', '12:12:22')
('OA', '29/12/18', '12:12:23')
('OA', '29/12/18', '12:12:23')
('OA', '29/12/18', '12:12:23')
