('NR', '27/12/18', '11:21:34')
('NR', '27/12/18', '11:21:35')
('NR', '27/12/18', '11:21:35')
('NR', '27/12/18', '11:21:35')
('OA', '27/12/18', '11:21:35')
('OA', '27/12/18', '11:21:35')
('OA', '27/12/18', '11:21:39')
('OA', '27/12/18', '11:21:39')
('OA', '27/12/18', '11:21:40')
('OA', '27/12/18', '11:21:40')
('OA', '27/12/18', '11:21:41')
('OA', '27/12/18', '11:21:41')
('OA', '27/12/18', '11:21:41')
('OA', '27/12/18', '11:21:41')
('OA', '27/12/18', '11:21:42')
('OA', '27/12/18', '11:21:42')
('OA', '27/12/18', '11:21:44')
('OA', '27/12/18', '11:21:44')
('OA', '27/12/18', '11:21:44')
('OA', '27/12/18', '11:21:44')
('OA', '27/12/18', '11:21:45')
('OA', '27/12/18', '11:21:45')
('OA', '27/12/18', '11:21:49')
('OA', '27/12/18', '11:21:49')
('OA', '27/12/18', '11:21:50')
('OA', '27/12/18', '11:21:50')
('NR', '27/12/18', '11:21:53')
('NR', '27/12/18', '11:21:53')
('NR', '27/12/18', '11:21:53')
('NR', '27/12/18', '11:21:53')
('NR', '27/12/18', '11:21:53')
('NR', '27/12/18', '11:21:55')
('NR', '27/12/18', '11:21:55')
('NR', '27/12/18', '11:21:55')
('NR', '27/12/18', '11:21:56')
('NR', '27/12/18', '11:21:56')
('NR', '27/12/18', '11:21:56')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:57')
('NR', '27/12/18', '11:21:58')
('NR', '27/12/18', '11:21:58')
('NR', '27/12/18', '11:21:58')
('NR', '27/12/18', '11:21:58')
('NR', '27/12/18', '11:21:58')
('NR', '27/12/18', '11:21:59')
('NR', '27/12/18', '11:21:59')
('NR', '27/12/18', '11:21:59')
('NR', '27/12/18', '11:21:59')
('NR', '27/12/18', '11:21:59')
('NR', '27/12/18', '11:22:00')
('NR', '27/12/18', '11:22:00')
('NR', '27/12/18', '11:22:00')
('NR', '27/12/18', '11:22:00')
('NR', '27/12/18', '11:22:00')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:01')
('NR', '27/12/18', '11:22:02')
('NR', '27/12/18', '11:22:02')
('NR', '27/12/18', '11:22:02')
('NR', '27/12/18', '11:22:02')
('NR', '27/12/18', '11:22:02')
('NR', '27/12/18', '11:22:03')
('NR', '27/12/18', '11:22:03')
('NR', '27/12/18', '11:22:03')
('NR', '27/12/18', '11:22:03')
('NR', '27/12/18', '11:22:03')
('NR', '27/12/18', '11:22:04')
('NR', '27/12/18', '11:22:04')
('OA', '27/12/18', '11:22:05')
('OA', '27/12/18', '11:22:05')
('OA', '27/12/18', '11:22:08')
('OA', '27/12/18', '11:22:08')
('OA', '27/12/18', '11:22:10')
('OA', '27/12/18', '11:22:10')
('OA', '27/12/18', '11:22:12')
('OA', '27/12/18', '11:22:12')
('OA', '28/12/18', '01:41:03')
('OA', '28/12/18', '01:41:03')
('OA', '28/12/18', '01:41:04')
('OA', '28/12/18', '01:41:04')
('OA', '28/12/18', '01:41:05')
('OA', '28/12/18', '01:41:05')
('OA', '28/12/18', '01:41:05')
('OA', '28/12/18', '01:41:05')
('OA', '28/12/18', '01:41:06')
('OA', '28/12/18', '01:41:06')
('OA', '28/12/18', '01:41:06')
('OA', '28/12/18', '01:41:06')
('OA', '28/12/18', '01:41:07')
('OA', '28/12/18', '01:41:07')
('OA', '28/12/18', '01:41:07')
('OA', '28/12/18', '01:41:07')
('OA', '28/12/18', '01:41:08')
('OA', '28/12/18', '01:41:08')
('OA', '28/12/18', '01:41:08')
('OA', '28/12/18', '01:41:08')
('OA', '28/12/18', '01:41:09')
('OA', '28/12/18', '01:41:09')
('OA', '28/12/18', '01:41:10')
('OA', '28/12/18', '01:41:10')
('NR', '28/12/18', '01:41:21')
('NR', '28/12/18', '01:41:21')
('NR', '28/12/18', '01:41:21')
('NR', '28/12/18', '01:41:22')
('NR', '28/12/18', '01:41:22')
('NR', '28/12/18', '01:41:22')
('NR', '28/12/18', '01:41:22')
('NR', '28/12/18', '01:41:22')
('NR', '28/12/18', '01:41:23')
('NR', '28/12/18', '01:41:23')
('NR', '28/12/18', '01:41:23')
('NR', '28/12/18', '01:41:23')
('NR', '28/12/18', '01:41:23')
('NR', '28/12/18', '01:41:24')
('NR', '28/12/18', '01:41:24')
('NR', '28/12/18', '01:41:24')
('NR', '28/12/18', '01:41:24')
('NR', '28/12/18', '01:41:24')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:25')
('NR', '28/12/18', '01:41:26')
('NR', '28/12/18', '01:41:26')
('NR', '28/12/18', '01:41:26')
('NR', '28/12/18', '01:41:26')
('NR', '28/12/18', '01:41:26')
('NR', '28/12/18', '01:41:27')
('NR', '28/12/18', '01:41:27')
('NR', '28/12/18', '01:41:27')
('NR', '28/12/18', '01:41:27')
